year,cylinders,fuel,mileage,body,doors,drivetrain,price
2024,4.0,3,14.0,6,4.0,0,36734.0
2024,4.0,3,1.0,5,4.0,0,40380.0
2024,6.0,3,175.0,6,4.0,1,46243.0
2024,4.0,4,0.0,6,4.0,2,41765.0
2024,6.0,3,7.0,6,4.0,0,85630.0
2024,4.0,3,12.0,6,4.0,1,38736.0
2024,6.0,3,5.0,6,4.0,1,43585.0
2023,6.0,3,20.0,7,4.0,3,35821.0
2024,4.0,4,11.0,6,4.0,1,69201.0
2024,6.0,0,532.0,5,4.0,1,60904.0
2023,8.0,3,34.0,6,4.0,0,47785.0
2024,4.0,3,12.0,6,4.0,1,34084.0
2024,4.0,4,0.0,6,4.0,0,39763.0
2024,8.0,3,0.0,5,4.0,1,77525.0
2024,6.0,3,8.0,6,4.0,0,51965.0
2024,6.0,3,12.0,0,3.0,2,48822.0
2024,6.0,3,6.0,6,4.0,1,40344.0
2024,4.0,0,10.0,0,3.0,3,61276.0
2024,4.0,3,5.0,7,4.0,0,31042.0
2024,4.0,4,4.0,6,4.0,1,58840.0
2024,4.0,3,5.0,6,4.0,0,53395.0
2024,4.0,4,11.0,6,4.0,0,33695.0
2024,4.0,4,12.0,6,4.0,1,54899.0
2024,4.0,5,3.0,6,4.0,0,54939.0
2024,4.0,3,13.0,6,4.0,2,34310.0
2024,4.0,3,1.0,5,4.0,0,41995.0
2024,4.0,3,12.0,6,4.0,0,39935.0
2024,6.0,0,22.0,5,4.0,1,79934.0
2024,4.0,5,8.0,6,4.0,0,54949.0
2023,6.0,3,20.0,7,4.0,3,36083.0
2024,6.0,3,26.0,6,4.0,0,47100.0
2024,4.0,3,2.0,6,4.0,0,31301.0
2024,4.0,3,12.0,6,4.0,0,73020.0
2024,4.0,3,5.0,6,4.0,0,25311.0
2024,6.0,3,6.0,6,4.0,1,49411.0
2024,4.0,4,10.0,7,4.0,2,32520.0
2024,8.0,3,10.0,5,4.0,1,45716.0
2024,4.0,3,9.0,6,4.0,1,38980.0
2024,4.0,3,3.0,6,4.0,0,47290.0
2024,6.0,3,5.0,6,4.0,0,45038.0
2024,4.0,4,0.0,6,4.0,0,56079.0
2024,6.0,0,13.0,5,4.0,1,63609.0
2024,4.0,4,33.0,6,4.0,0,35364.0
2024,4.0,3,1.0,5,4.0,0,36970.0
2024,6.0,3,10.0,6,4.0,1,74600.0
2024,4.0,4,16.0,6,4.0,0,40835.0
2024,4.0,4,5.0,6,4.0,0,42597.0
2024,4.0,3,7.0,6,4.0,0,51725.0
2024,6.0,3,5.0,5,4.0,1,54620.0
2023,8.0,3,95.0,5,2.0,1,63010.0
2024,4.0,3,0.0,6,4.0,0,34940.0
2024,4.0,4,5.0,6,4.0,0,44600.0
2024,4.0,3,19.0,6,4.0,0,62145.0
2024,6.0,0,12.0,5,4.0,1,58950.0
2023,8.0,3,5.0,6,4.0,0,47340.0
2024,4.0,4,10.0,6,4.0,0,51585.0
2023,8.0,3,19.0,6,4.0,0,46835.0
2024,4.0,3,3.0,6,4.0,0,40260.0
2024,4.0,3,48.0,6,4.0,0,32485.0
2024,6.0,0,6.0,5,2.0,1,61330.0
2024,4.0,4,5.0,6,4.0,0,45141.0
2025,6.0,3,0.0,6,4.0,0,54620.0
2024,6.0,3,3.0,6,4.0,1,67105.0
2024,4.0,4,7.0,6,4.0,1,51845.0
2023,8.0,3,22.0,6,4.0,0,47340.0
2024,6.0,3,0.0,4,4.0,2,44350.0
2023,6.0,3,25.0,3,4.0,2,45300.0
2024,4.0,3,5.0,6,4.0,0,40474.0
2024,4.0,3,17.0,6,4.0,2,31860.0
2024,4.0,3,0.0,6,4.0,1,35999.0
2024,3.0,3,3.0,6,4.0,0,34799.0
2024,8.0,3,31.0,5,4.0,3,48995.0
2024,6.0,3,1946.0,6,4.0,0,94895.0
2024,4.0,3,11.0,6,4.0,1,54835.0
2024,3.0,3,3.0,6,4.0,0,41180.0
2024,4.0,3,7.0,6,4.0,1,28265.0
2024,4.0,3,6.0,6,4.0,0,28994.0
2023,6.0,3,20.0,7,4.0,3,35821.0
2024,8.0,3,5.0,5,4.0,1,47105.0
2024,4.0,3,11.0,6,4.0,0,38717.0
2024,4.0,4,12.0,6,4.0,0,36600.0
2024,4.0,3,11.0,6,4.0,2,32406.0
2023,8.0,3,21.0,6,4.0,0,46835.0
2024,6.0,3,10.0,6,4.0,1,52631.0
2023,6.0,0,252.0,5,4.0,1,71999.0
2024,4.0,3,3.0,6,4.0,0,30955.0
2024,6.0,0,11.0,5,4.0,1,80927.0
2024,4.0,4,13.0,7,4.0,2,27080.0
2024,6.0,3,10.0,6,4.0,0,90995.0
2024,6.0,0,6.0,5,4.0,1,64111.0
2024,6.0,3,10.0,6,4.0,1,49260.0
2024,4.0,4,6.0,6,4.0,2,38855.0
2024,6.0,3,7.0,6,4.0,1,72135.0
2024,4.0,3,5.0,6,4.0,0,51625.0
2024,4.0,3,1.0,5,4.0,0,40449.0
2024,4.0,4,11.0,6,4.0,1,62343.0
2024,4.0,3,3.0,6,4.0,2,30188.0
2024,6.0,3,9.0,6,2.0,1,77645.0
2024,8.0,3,2.0,5,4.0,1,49496.0
2024,4.0,3,11.0,6,4.0,0,29386.0
2024,4.0,3,0.0,6,4.0,1,31721.0
2024,4.0,3,12.0,6,4.0,2,25080.0
2024,3.0,3,0.0,6,4.0,1,35210.0
2024,4.0,3,1.0,6,4.0,0,35389.0
2023,8.0,3,12.0,6,4.0,0,53995.0
2024,4.0,3,11.0,6,4.0,2,30305.0
2024,4.0,3,13.0,6,4.0,0,33331.0
2024,4.0,3,1.0,5,4.0,0,40375.0
2024,4.0,3,54.0,6,4.0,0,34637.0
2024,6.0,3,10.0,0,3.0,2,51380.0
2024,4.0,3,12.0,5,4.0,0,38574.0
2024,3.0,3,5.0,6,4.0,2,24680.0
2024,4.0,3,9.0,5,4.0,1,43135.0
2024,6.0,1,10.0,0,3.0,3,53595.0
2024,4.0,3,0.0,6,4.0,0,43524.0
2023,8.0,3,5.0,6,4.0,0,46835.0
2024,4.0,4,14.0,7,4.0,2,38870.0
2024,6.0,0,15.0,5,4.0,1,61481.0
2024,4.0,4,11.0,6,4.0,0,36882.0
2024,6.0,3,5.0,6,4.0,0,98180.0
2024,6.0,0,27.0,5,4.0,1,67422.0
2024,4.0,3,6.0,7,4.0,2,20849.0
2024,4.0,3,11.0,6,4.0,0,31537.0
2024,6.0,3,0.0,6,4.0,0,46350.0
2024,6.0,0,13.0,5,4.0,1,67562.0
2024,8.0,3,10.0,5,2.0,1,52263.0
2024,4.0,4,147.0,6,4.0,0,42876.0
2024,8.0,3,5.0,5,4.0,1,65416.0
2024,4.0,3,10.0,6,4.0,1,28867.0
2024,6.0,3,10.0,6,4.0,1,37729.0
2024,4.0,3,28.0,7,4.0,2,29374.0
2024,4.0,4,33.0,6,4.0,0,51835.0
2023,6.0,3,20.0,7,4.0,3,37490.0
2024,4.0,3,10.0,2,4.0,0,52405.0
2023,8.0,3,32.0,6,4.0,0,47785.0
2024,6.0,3,8.0,6,4.0,0,95230.0
2024,6.0,0,6.0,5,4.0,1,67237.0
2024,6.0,3,0.0,0,3.0,3,42990.0
2024,6.0,0,344.0,5,4.0,1,65221.0
2024,4.0,3,5.0,5,4.0,3,42947.0
2024,4.0,3,3.0,6,4.0,1,58648.0
2024,6.0,3,6.0,6,4.0,1,50184.0
2024,4.0,3,0.0,6,4.0,0,27555.0
2024,4.0,3,5.0,7,4.0,0,73960.0
2024,6.0,3,10.0,6,4.0,1,46659.0
2024,8.0,0,5.0,5,4.0,1,70190.0
2023,6.0,3,20.0,7,4.0,3,37490.0
2024,6.0,3,20.0,6,4.0,1,66770.0
2024,6.0,3,1.0,6,4.0,1,89595.0
2024,6.0,3,1.0,0,3.0,2,53272.0
2024,6.0,3,246.0,6,4.0,1,52567.0
2024,4.0,4,5.0,6,4.0,0,45051.0
2024,4.0,4,1.0,6,4.0,0,50595.0
2024,8.0,3,5.0,5,4.0,1,54190.0
2024,4.0,3,0.0,6,4.0,0,35585.0
2024,4.0,3,9.0,6,4.0,1,27087.0
2024,4.0,4,16.0,6,4.0,0,40085.0
2024,4.0,3,4723.0,6,4.0,0,45995.0
2024,6.0,3,5.0,6,4.0,3,63862.0
2024,4.0,4,29.0,6,4.0,1,67164.0
2024,4.0,3,0.0,6,4.0,0,49166.0
2024,6.0,3,14.0,4,4.0,0,54403.0
2024,8.0,3,0.0,5,4.0,1,59620.0
2024,4.0,4,10.0,6,4.0,0,39832.0
2024,4.0,3,13.0,7,4.0,2,24348.0
2024,4.0,3,7.0,6,4.0,1,28860.0
2024,6.0,3,10.0,6,4.0,1,74625.0
2024,4.0,3,1.0,6,4.0,0,33785.0
2024,6.0,0,10.0,5,4.0,1,81663.0
2024,4.0,4,12.0,6,4.0,0,40754.0
2024,4.0,5,3.0,6,4.0,0,54949.0
2024,4.0,4,7.0,6,4.0,0,41391.0
2024,4.0,3,6.0,7,4.0,2,21889.0
2024,4.0,3,3.0,5,4.0,0,31610.0
2024,6.0,3,10.0,6,4.0,1,49201.0
2024,4.0,3,10.0,6,4.0,0,27450.0
2024,6.0,4,10.0,4,4.0,2,60600.0
2024,3.0,3,7.0,6,4.0,0,36190.0
2024,4.0,4,0.0,6,4.0,0,47142.0
2024,6.0,3,65.0,6,4.0,1,83910.0
2023,4.0,4,185.0,6,4.0,1,59547.0
2023,6.0,3,5581.0,0,3.0,3,57000.0
2024,4.0,3,3.0,6,4.0,1,59116.0
2024,6.0,4,10.0,5,4.0,1,68256.0
2024,4.0,3,10.0,6,4.0,2,24500.0
2024,4.0,4,5.0,6,4.0,1,49550.0
2024,6.0,0,5.0,5,4.0,1,83374.0
2024,4.0,3,6.0,7,4.0,2,24348.0
2024,6.0,0,5.0,5,4.0,1,89040.0
2024,4.0,3,2.0,6,4.0,0,42715.0
2023,8.0,3,22.0,6,4.0,0,47280.0
2024,4.0,4,5.0,7,4.0,2,38870.0
2024,6.0,3,3.0,6,4.0,1,47451.0
2024,4.0,3,21.0,6,4.0,0,46490.0
2024,4.0,3,9.0,6,4.0,3,40145.0
2024,4.0,3,6.0,6,4.0,0,33977.0
2024,6.0,3,10.0,6,4.0,1,54209.0
2024,6.0,3,6.0,6,4.0,1,44759.0
2023,8.0,3,29.0,6,4.0,0,46835.0
2024,6.0,0,0.0,5,4.0,1,68600.0
2024,6.0,0,17.0,5,4.0,1,79675.0
2024,6.0,0,15.0,5,4.0,1,84701.0
2024,4.0,3,10.0,6,4.0,2,32491.0
2024,6.0,3,23.0,6,4.0,3,54641.0
2024,4.0,4,10.0,6,4.0,0,35775.0
2024,4.0,3,6.0,6,4.0,2,21123.0
2024,4.0,4,10.0,6,4.0,0,37805.0
2024,4.0,4,26.0,6,4.0,1,61179.0
2024,6.0,0,22.0,5,4.0,1,63670.0
2024,6.0,0,6.0,5,4.0,1,66334.0
2024,4.0,3,4.0,5,4.0,0,36550.0
2024,4.0,3,76.0,7,4.0,2,39375.0
2024,4.0,3,10.0,6,4.0,1,40235.0
2023,8.0,3,23.0,6,4.0,0,46835.0
2024,8.0,3,5.0,5,4.0,1,47410.0
2024,4.0,4,9.0,6,4.0,0,35656.0
2024,8.0,3,5.0,5,4.0,1,57635.0
2024,6.0,3,6.0,0,3.0,2,53445.0
2024,6.0,3,5.0,6,4.0,1,55020.0
2024,4.0,3,28.0,7,4.0,2,22260.0
2024,3.0,3,13.0,6,4.0,1,31390.0
2023,8.0,3,11.0,6,4.0,0,47340.0
2024,8.0,3,2.0,5,4.0,1,88478.0
2024,6.0,0,0.0,5,4.0,1,81036.0
2023,8.0,3,14.0,6,4.0,0,47340.0
2024,8.0,0,4.0,5,4.0,1,102287.0
2023,8.0,3,32.0,6,4.0,0,46835.0
2024,8.0,3,2.0,5,4.0,1,49944.0
2024,4.0,3,0.0,6,4.0,2,29182.0
2024,4.0,3,0.0,6,4.0,0,52180.0
2024,4.0,3,3.0,6,4.0,1,61506.0
2024,3.0,3,0.0,6,4.0,2,30278.0
2024,4.0,4,17.0,6,4.0,1,58230.0
2023,6.0,3,0.0,5,4.0,1,53796.0
2024,3.0,3,5.0,6,4.0,0,36405.0
2024,4.0,3,10.0,6,4.0,0,48541.0
2024,6.0,3,1.0,6,4.0,1,49075.0
2024,6.0,3,10.0,6,4.0,1,49139.0
2024,4.0,3,7.0,6,4.0,1,31535.0
2024,3.0,3,5.0,6,4.0,2,28000.0
2024,4.0,4,5.0,6,4.0,1,63440.0
2024,4.0,3,0.0,6,4.0,1,37743.0
2024,4.0,3,15.0,6,4.0,0,36810.0
2023,8.0,3,21.0,6,4.0,0,46835.0
2024,8.0,3,17.0,5,4.0,1,49229.0
2023,8.0,3,39.0,6,4.0,0,47165.0
2024,6.0,3,1.0,0,3.0,3,51803.0
2024,4.0,3,7.0,6,4.0,1,28860.0
2024,4.0,4,0.0,6,4.0,0,50209.0
2024,4.0,5,0.0,6,4.0,0,50955.0
2024,6.0,3,6.0,6,4.0,1,53160.0
2023,6.0,3,20.0,7,4.0,3,36083.0
2024,4.0,3,0.0,6,4.0,1,30525.0
2024,6.0,0,6.0,5,4.0,1,83940.0
2024,4.0,3,11.0,6,4.0,2,46855.0
2024,6.0,0,16.0,5,4.0,1,77085.0
2024,4.0,3,1.0,5,4.0,0,41955.0
2024,4.0,4,1.0,6,4.0,0,45844.0
2024,6.0,3,0.0,6,4.0,1,39370.0
2024,4.0,3,1.0,5,4.0,0,40434.0
2024,4.0,3,0.0,6,4.0,0,49895.0
2024,4.0,4,12.0,6,4.0,0,40979.0
2024,4.0,3,48.0,6,4.0,0,32485.0
2024,4.0,4,1.0,6,4.0,0,36900.0
2024,6.0,3,12.0,5,4.0,1,46791.0
2024,4.0,3,34.0,6,4.0,1,58909.0
2024,4.0,3,9.0,7,4.0,2,21000.0
2024,6.0,3,6.0,6,4.0,1,86490.0
2024,6.0,3,13.0,6,4.0,0,44852.0
2024,4.0,3,12.0,6,4.0,2,24430.0
2024,6.0,3,10.0,6,4.0,1,46721.0
2024,8.0,3,1.0,5,4.0,1,50030.0
2024,8.0,3,2.0,5,4.0,1,49632.0
2023,8.0,3,32.0,6,4.0,0,46835.0
2024,4.0,3,3.0,6,4.0,2,48350.0
2024,6.0,3,6.0,6,4.0,1,44737.0
2024,4.0,5,9.0,6,4.0,0,54949.0
2024,6.0,3,181.0,0,3.0,2,67749.0
2023,8.0,3,32.0,6,4.0,0,47340.0
2024,6.0,3,3.0,6,4.0,0,44850.0
2024,6.0,0,16.0,5,4.0,1,64965.0
2024,4.0,4,10.0,6,4.0,1,54910.0
2024,4.0,3,7.0,6,4.0,0,40630.0
2024,6.0,3,7.0,6,4.0,0,75925.0
2024,6.0,0,5.0,5,4.0,1,63145.0
2024,6.0,3,5.0,4,4.0,2,38954.0
2024,3.0,3,4.0,6,4.0,0,34305.0
2024,4.0,3,66.0,6,4.0,0,28098.0
2024,8.0,0,0.0,5,4.0,1,96860.0
2024,8.0,3,0.0,5,2.0,1,53750.0
2024,4.0,3,0.0,7,4.0,2,21195.0
2024,6.0,0,15.0,5,4.0,1,74990.0
2024,4.0,4,5.0,6,4.0,0,43613.0
2024,6.0,3,13.0,4,4.0,0,55183.0
2024,4.0,4,6.0,6,4.0,0,75595.0
2024,6.0,3,0.0,0,3.0,0,64025.0
2024,4.0,3,1.0,6,4.0,0,30499.0
2024,8.0,3,2.0,5,4.0,1,50058.0
2024,4.0,3,13.0,6,4.0,2,30383.0
2024,4.0,3,0.0,6,4.0,2,30034.0
2024,4.0,3,1.0,6,4.0,0,38040.0
2024,6.0,3,6.0,6,4.0,1,84190.0
2023,6.0,3,35.0,6,4.0,0,44170.0
2023,8.0,3,33.0,6,4.0,0,47340.0
2024,3.0,3,0.0,6,4.0,1,30020.0
2024,4.0,3,5.0,6,4.0,0,59420.0
2024,4.0,3,0.0,5,4.0,1,50565.0
2024,4.0,4,25.0,6,4.0,0,39832.0
2024,4.0,0,9.0,0,3.0,3,72357.0
2023,8.0,3,1.0,5,4.0,1,46672.0
2024,6.0,3,6.0,6,4.0,1,47080.0
2024,6.0,3,25.0,6,4.0,0,46905.0
2024,6.0,3,89.0,6,4.0,1,90350.0
2023,6.0,3,10.0,7,4.0,3,35994.0
2024,4.0,4,26.0,6,4.0,1,62255.0
2024,3.0,3,9.0,6,4.0,1,31390.0
2024,6.0,3,9.0,6,4.0,1,69035.0
2024,6.0,3,14.0,6,4.0,1,77473.0
2024,4.0,3,17.0,6,4.0,1,36331.0
2023,6.0,3,20.0,6,4.0,1,72835.0
2024,4.0,3,1.0,6,4.0,0,40250.0
2024,6.0,3,9.0,6,4.0,0,88695.0
2024,4.0,4,2.0,6,4.0,1,60884.0
2024,4.0,3,8.0,6,4.0,1,33668.0
2024,4.0,3,5.0,6,4.0,0,39025.0
2024,8.0,3,2.0,5,4.0,1,49628.0
2024,4.0,3,0.0,6,4.0,0,32198.0
2024,4.0,3,11.0,7,4.0,2,20389.0
2024,6.0,3,4.0,6,4.0,1,50923.0
2024,4.0,3,7.0,6,4.0,1,28860.0
2024,6.0,0,6.0,5,4.0,1,83640.0
2024,4.0,3,1.0,5,4.0,0,42064.0
2024,6.0,0,10.0,5,4.0,1,60925.0
2024,4.0,3,24.0,6,4.0,0,40880.0
2024,4.0,4,11.0,6,4.0,1,53791.0
2024,4.0,3,3.0,6,4.0,0,51361.0
2024,4.0,3,1.0,5,4.0,0,43684.0
2024,4.0,3,2.0,6,4.0,0,30101.0
2024,4.0,3,13.0,7,4.0,2,23160.0
2024,4.0,3,7.0,7,4.0,2,24348.0
2024,8.0,3,0.0,5,2.0,3,47763.0
2024,4.0,3,0.0,6,4.0,0,49895.0
2024,8.0,3,105.0,5,4.0,1,77885.0
2024,4.0,3,3.0,6,4.0,0,28997.0
2024,4.0,3,9.0,6,4.0,3,40145.0
2024,3.0,3,14.0,6,4.0,1,35077.0
2024,4.0,3,10.0,7,4.0,0,54545.0
2024,6.0,3,3838.0,6,4.0,0,46000.0
2024,4.0,3,0.0,6,4.0,0,49720.0
2024,4.0,4,10.0,6,4.0,0,41720.0
2023,6.0,3,650.0,6,4.0,1,110150.0
2024,4.0,3,6.0,7,4.0,2,31225.0
2024,6.0,3,18.0,6,4.0,1,79487.0
2024,6.0,3,1.0,0,3.0,3,51803.0
2024,4.0,3,3425.0,6,4.0,2,32750.0
2024,6.0,3,10.0,6,4.0,0,89450.0
2024,4.0,3,10.0,6,4.0,1,46973.0
2024,4.0,5,26.0,6,4.0,0,58949.0
2024,4.0,3,9.0,6,4.0,0,37430.0
2024,4.0,3,5.0,7,4.0,2,27175.0
2024,4.0,4,5.0,6,4.0,1,63440.0
2024,4.0,3,2.0,6,4.0,2,31222.0
2024,3.0,3,8.0,6,4.0,0,36860.0
2024,6.0,3,10.0,6,4.0,1,48612.0
2024,6.0,3,3.0,0,3.0,2,53890.0
2024,4.0,3,7.0,6,4.0,1,28265.0
2024,6.0,3,19.0,7,4.0,3,103045.0
2024,4.0,3,12.0,6,4.0,0,73360.0
2024,4.0,0,8.0,0,3.0,3,62295.0
2024,4.0,3,11.0,6,4.0,1,28265.0
2024,6.0,3,12.0,6,4.0,3,44160.0
2024,4.0,3,10.0,6,4.0,0,32837.0
2024,6.0,3,0.0,6,4.0,0,49900.0
2024,4.0,4,14.0,6,4.0,0,42991.0
2024,4.0,3,2.0,6,4.0,0,40015.0
2024,4.0,4,11.0,6,4.0,2,30935.0
2024,4.0,3,0.0,6,4.0,0,35236.0
2024,4.0,3,15.0,6,4.0,1,53190.0
2024,4.0,4,21.0,6,4.0,0,73270.0
2024,4.0,3,5.0,6,4.0,0,42855.0
2024,6.0,3,8.0,5,4.0,1,45605.0
2025,6.0,3,4.0,6,4.0,0,90945.0
2024,8.0,3,0.0,5,4.0,1,65350.0
2023,8.0,3,35.0,6,4.0,0,47340.0
2024,3.0,3,4.0,6,4.0,0,35975.0
2024,4.0,3,3.0,6,4.0,1,61506.0
2024,4.0,3,11.0,6,4.0,0,30618.0
2024,4.0,3,15.0,6,4.0,2,27400.0
2024,6.0,0,15.0,5,4.0,1,65260.0
2024,4.0,3,30.0,6,4.0,0,56995.0
2024,6.0,3,20.0,6,4.0,1,69085.0
2024,6.0,0,9.0,5,4.0,1,71167.0
2024,4.0,5,9.0,6,4.0,0,54949.0
2024,4.0,4,10.0,6,4.0,0,35404.0
2024,6.0,3,6.0,6,4.0,0,74290.0
2024,4.0,3,8.0,7,4.0,2,17994.0
2023,6.0,3,26.0,5,4.0,1,52495.0
2024,4.0,3,0.0,6,4.0,0,35480.0
2023,4.0,3,4.0,0,4.0,2,38036.0
2023,6.0,3,16.0,6,4.0,1,43000.0
2024,6.0,3,1.0,6,4.0,1,50170.0
2024,8.0,3,3.0,5,2.0,3,48268.0
2024,4.0,3,1.0,5,4.0,0,30490.0
2024,4.0,4,5.0,6,4.0,0,35864.0
2024,4.0,5,10.0,6,4.0,0,54449.0
